id,count,somewhat conservative,name,party,very conservative,moderate,state,liberal
1,,,Other/No Answer,R,1,,AL,
2,,20,Marco Rubio,R,15,27,AL,
3,,5,John Kasich,R,2,9,AL,
4,,1,Uncommitted,R,0,2,AL,
5,,17,Ted Cruz,R,29,13,AL,
6,,11,Ben Carson,R,11,9,AL,
7,,0,Jeb Bush,R,1,0,AL,
8,,46,Donald Trump,R,41,40,AL,
9,1237,40,total,R,38,20,AL,2
10,,1,Other/No Answer,R,2,3,AR,
11,,28,Marco Rubio,R,22,29,AR,
12,,4,John Kasich,R,1,11,AR,
13,,23,Ted Cruz,R,42,16,AR,
14,,4,Ben Carson,R,6,3,AR,
15,,1,Jeb Bush,R,0,1,AR,
16,,39,Donald Trump,R,27,37,AR,
17,1382,42,total,R,40,17,AR,2
18,,,Other/No Answer,R,,7,FL,
19,,31,Marco Rubio,R,23,25,FL,
20,,6,John Kasich,R,2,13,FL,
21,,15,Ted Cruz,R,26,12,FL,
22,,0,Ben Carson,R,2,1,FL,
23,,48,Donald Trump,R,48,42,FL,
24,1907,39,total,R,31,27,FL,3
25,,,Other/No Answer,R,1,1,GA,
26,,29,Marco Rubio,R,17,30,GA,
27,,6,John Kasich,R,3,11,GA,
28,,17,Ted Cruz,R,37,9,GA,
29,,6,Ben Carson,R,6,5,GA,
30,,1,Jeb Bush,R,1,0,GA,
31,,42,Donald Trump,R,35,44,GA,
32,1704,42,total,R,38,18,GA,3
33,,2,Other/No Answer,R,,1,IL,
34,,11,Marco Rubio,R,5,10,IL,
35,,17,John Kasich,R,9,32,IL,
36,,29,Ted Cruz,R,49,15,IL,
37,,1,Ben Carson,R,1,1,IL,
38,,40,Donald Trump,R,36,41,IL,
39,1233,46,total,R,26,25,IL,3
40,,3,Other/No Answer,R,,2,MA,
41,,22,Marco Rubio,R,16,15,MA,
42,,,No Preference,R,,1,MA,
43,,13,John Kasich,R,4,29,MA,
44,,8,Ted Cruz,R,26,3,MA,
45,,2,Ben Carson,R,7,1,MA,
46,,1,Jeb Bush,R,,1,MA,
47,,51,Donald Trump,R,47,48,MA,
48,801,44,total,R,18,33,MA,5
49,,2,Other/No Answer,R,,1,MI,
50,,11,Marco Rubio,R,11,8,MI,
51,,24,John Kasich,R,14,36,MI,
52,,1,Uncommitted,R,1,3,MI,
53,,23,Ted Cruz,R,38,12,MI,
54,,2,Ben Carson,R,1,3,MI,
55,,37,Donald Trump,R,35,37,MI,
56,1341,47,total,R,28,22,MI,3
57,,1,Other/No Answer,R,,,MS,
58,,7,Marco Rubio,R,3,7,MS,
59,,10,John Kasich,R,4,17,MS,
60,,27,Ted Cruz,R,51,22,MS,
61,,2,Ben Carson,R,1,3,MS,
62,,53,Donald Trump,R,41,52,MS,
63,1285,37,total,R,47,15,MS,1
64,,1,Other/No Answer,R,1,1,MO,
65,,6,Marco Rubio,R,4,9,MO,
66,,11,John Kasich,R,3,21,MO,
67,,0,Uncommitted,R,0,1,MO,
68,,38,Ted Cruz,R,55,23,MO,
69,,1,Ben Carson,R,1,2,MO,
70,,43,Donald Trump,R,36,43,MO,
71,1363,39,total,R,40,19,MO,2
72,,23,John Kasich,R,11,42,NY,
73,,67,Donald Trump,R,62,46,NY,
74,,10,Ted Cruz,R,27,13,NY,
75,957,47,total,R,24,24,NY,5
76,,1,Other/No Answer,R,1,1,NC,
77,,8,Marco Rubio,R,5,9,NC,
78,,1,No Preference,R,0,1,NC,
79,,12,John Kasich,R,6,28,NC,
80,,32,Ted Cruz,R,54,20,NC,
81,,0,Ben Carson,R,1,1,NC,
82,,46,Donald Trump,R,33,40,NC,
83,1800,42,total,R,37,19,NC,2
84,,1,Other/No Answer,R,2,2,OH,
85,,2,Marco Rubio,R,2,4,OH,
86,,48,John Kasich,R,33,59,OH,
87,,10,Ted Cruz,R,26,4,OH,
88,,1,Ben Carson,R,1,0,OH,
89,,38,Donald Trump,R,36,31,OH,
90,2363,42,total,R,31,25,OH,3
91,,1,Other/No Answer,R,1,1,OK,
92,,33,Marco Rubio,R,19,30,OK,
93,,3,John Kasich,R,1,11,OK,
94,,31,Ted Cruz,R,43,17,OK,
95,,6,Ben Carson,R,6,6,OK,
96,,1,Jeb Bush,R,1,,OK,
97,,25,Donald Trump,R,29,35,OK,
98,938,38,total,R,43,18,OK,1
99,,1,Other/No Answer,R,1,1,SC,
100,,25,Marco Rubio,R,19,23,SC,
101,,6,John Kasich,R,3,21,SC,
102,,17,Ted Cruz,R,35,7,SC,
103,,7,Ben Carson,R,8,5,SC,
104,,9,Jeb Bush,R,5,9,SC,
105,,35,Donald Trump,R,29,34,SC,
106,2043,43,total,R,38,17,SC,1
107,,2,Other/No Answer,R,,,TN,
108,,26,Marco Rubio,R,17,20,TN,
109,,6,John Kasich,R,3,11,TN,
110,,0,Uncommitted,R,0,0,TN,
111,,16,Ted Cruz,R,39,12,TN,
112,,6,Ben Carson,R,7,7,TN,
113,,1,Jeb Bush,R,0,5,TN,
114,,43,Donald Trump,R,34,45,TN,
115,1435,40,total,R,41,16,TN,2
116,,1,Other/No Answer,R,,,TX,
117,,23,Marco Rubio,R,11,24,TX,
118,,4,John Kasich,R,3,9,TX,
119,,1,Uncommitted,R,0,1,TX,
120,,37,Ted Cruz,R,57,26,TX,
121,,3,Ben Carson,R,4,5,TX,
122,,1,Jeb Bush,R,2,2,TX,
123,,30,Donald Trump,R,23,34,TX,
124,1969,43,total,R,39,17,TX,2
125,,,Other/No Answer,R,3,1,VT,
126,,23,Marco Rubio,R,21,15,VT,
127,,27,John Kasich,R,22,40,VT,
128,,8,Ted Cruz,R,19,5,VT,
129,,5,Ben Carson,R,7,3,VT,
130,,2,Jeb Bush,R,1,2,VT,
131,,35,Donald Trump,R,27,34,VT,
132,536,43,total,R,24,28,VT,5
133,,2,Other/No Answer,R,,2,VA,
134,,34,Marco Rubio,R,23,40,VA,
135,,7,John Kasich,R,3,20,VA,
136,,11,Ted Cruz,R,31,7,VA,
137,,7,Ben Carson,R,6,6,VA,
138,,0,Jeb Bush,R,1,2,VA,
139,,39,Donald Trump,R,36,23,VA,
140,1523,40,total,R,32,25,VA,3
141,,2,Other/No Answer,R,2,2,WI,
142,,15,John Kasich,R,5,28,WI,
143,,36,Donald Trump,R,28,40,WI,
144,,0,Uninstructed,R,,1,WI,
145,,47,Ted Cruz,R,65,29,WI,
146,1532,43,total,R,31,24,WI,3
