id,unmarried,unmarried:count,count,party,married,state,married:count,name
1,0,0,8,D,1,IL,8,Other/No Answer
2,42,313,748,D,56,IL,435,Hillary Clinton
3,58,432,766,D,43,IL,334,Bernie Sanders
4,49,745,1521,D,51,IL,776,total
5,0,0,9,D,1,MI,9,Other/No Answer
6,44,324,748,D,49,MI,424,Hillary Clinton
7,4,29,29,D,0,MI,0,Uncommitted
8,53,390,822,D,50,MI,432,Bernie Sanders
9,46,736,1601,D,54,MI,865,total
10,0,0,7,D,1,MO,7,Other/No Answer
11,40,192,571,D,55,MO,379,Hillary Clinton
12,0,0,0,D,0,MO,0,Uncommitted
13,60,287,590,D,44,MO,303,Bernie Sanders
14,41,479,1168,D,59,MO,689,total
15,51,341,796,D,63,NY,455,Hillary Clinton
16,49,327,595,D,37,NY,268,Bernie Sanders
17,48,668,1391,D,52,NY,723,total
18,0,0,21,D,2,NC,21,Other/No Answer
19,52,427,1065,D,61,NC,638,Hillary Clinton
20,2,16,47,D,3,NC,31,No Preference
21,46,378,734,D,34,NC,356,Bernie Sanders
22,44,821,1867,D,56,NC,1046,total
23,0,0,10,D,1,OH,10,Other/No Answer
24,54,419,992,D,58,OH,573,Hillary Clinton
25,46,357,762,D,41,OH,405,Bernie Sanders
26,44,776,1764,D,56,OH,988,total
27,1,8,8,D,0,WI,0,Other/No Answer
28,39,318,749,D,45,WI,431,Hillary Clinton
29,60,490,1017,D,55,WI,527,Bernie Sanders
30,0,0,0,D,0,WI,0,Uninstructed
31,46,816,1774,D,54,WI,958,total
