id,white men:count,black women,white women,others,count,state,others:count,white women:count,latino women:count,white men,latino women,black women:count,latino men:count,party,black men,latino men,black men:count,name
1,0,0,0,0,3,AL,0,0,0,0,0,0,0,D,2,0,3,Other/No Answer
2,104,93,58,0,627,AL,0,100,0,60,0,298,0,D,85,0,125,Hillary Clinton
3,5,2,3,0,20,AL,0,5,0,3,0,6,0,D,3,0,4,Uncommitted
4,64,5,39,0,162,AL,0,67,0,37,0,16,0,D,10,0,15,Bernie Sanders
5,173,37,20,5,865,AL,43,173,9,20,1,320,0,D,17,0,147,total
6,10,1,4,0,37,FL,0,18,0,3,0,3,3,D,2,2,3,Other/No Answer
7,157,79,60,0,1010,FL,0,269,138,45,76,236,85,D,84,57,125,Hillary Clinton
8,181,20,36,0,528,FL,0,161,44,52,24,60,61,D,14,41,21,Bernie Sanders
9,348,18,27,5,1659,FL,83,448,182,21,11,299,149,D,9,9,149,total
10,2,0,1,0,5,GA,0,3,0,1,0,0,0,D,0,0,0,Other/No Answer
11,115,86,65,0,989,GA,0,213,0,48,0,423,0,D,84,0,238,Hillary Clinton
12,122,14,34,0,348,GA,0,112,0,51,0,69,0,D,16,0,45,Bernie Sanders
13,239,33,22,3,1491,GA,45,328,75,16,5,492,30,D,19,2,283,total
14,4,0,0,0,7,IL,0,0,0,1,0,0,0,D,2,0,3,Other/No Answer
15,149,66,49,0,667,IL,0,223,0,35,0,171,0,D,74,0,124,Hillary Clinton
16,273,34,51,0,634,IL,0,233,0,64,0,88,0,D,24,0,40,Bernie Sanders
17,426,17,30,5,1521,IL,76,456,76,28,5,259,61,D,11,4,167,total
18,5,0,0,0,5,MI,0,0,0,1,0,0,0,D,0,0,0,Other/No Answer
19,195,66,47,0,621,MI,0,278,0,37,0,148,0,D,0,0,0,Hillary Clinton
20,0,6,3,0,31,MI,0,18,0,0,0,13,0,D,0,0,0,Uncommitted
21,327,28,51,0,692,MI,0,302,0,62,0,63,0,D,0,0,0,Bernie Sanders
22,528,14,37,6,1601,MI,96,592,16,33,1,224,16,D,7,1,112,total
23,0,0,0,0,2,MS,0,0,0,0,0,0,0,D,1,0,2,Other/No Answer
24,0,90,71,0,748,MS,0,103,0,0,0,439,0,D,86,0,206,Hillary Clinton
25,0,10,29,0,122,MS,0,42,0,0,0,49,0,D,13,0,31,Bernie Sanders
26,104,47,14,4,1038,MS,42,145,0,10,0,488,10,D,23,1,239,total
27,4,0,1,0,9,MO,0,5,0,1,0,0,0,D,0,0,0,Other/No Answer
28,146,70,51,0,482,MO,0,238,0,38,0,98,0,D,0,0,0,Hillary Clinton
29,0,1,0,0,1,MO,0,0,0,0,0,1,0,D,0,0,0,Uncommitted
30,235,30,48,0,501,MO,0,224,0,61,0,42,0,D,0,0,0,Bernie Sanders
31,385,12,40,4,1168,MO,47,467,23,33,2,140,12,D,9,1,105,total
32,150,79,56,0,717,NY,0,265,74,43,67,154,0,D,67,0,74,Hillary Clinton
33,198,21,44,0,521,NY,0,208,37,57,33,41,0,D,33,0,37,Bernie Sanders
34,348,14,34,5,1391,NY,70,473,111,25,8,195,83,D,8,6,111,total
35,10,0,0,0,10,NC,0,0,0,2,0,0,0,D,0,0,0,Other/No Answer
36,181,79,49,0,980,NC,0,320,0,36,0,295,0,D,82,0,184,Hillary Clinton
37,20,1,4,0,54,NC,0,26,0,4,0,4,0,D,2,0,4,No Preference
38,292,20,47,0,710,NC,0,307,0,58,0,75,0,D,16,0,36,Bernie Sanders
39,504,20,35,4,1867,NC,75,653,37,27,2,373,19,D,12,1,224,total
40,6,2,1,0,18,OH,0,7,0,1,0,4,0,D,1,0,1,Other/No Answer
41,244,69,61,0,934,OH,0,441,0,42,0,146,0,D,73,0,103,Hillary Clinton
42,332,29,38,0,705,OH,0,275,0,57,0,61,0,D,26,0,37,Bernie Sanders
43,582,12,41,4,1764,OH,71,723,18,33,1,212,18,D,8,1,141,total
44,90,89,60,0,1043,SC,0,184,0,44,0,481,0,D,82,0,288,Hillary Clinton
45,115,11,40,0,361,SC,0,123,0,56,0,60,0,D,18,0,63,Bernie Sanders
46,205,37,21,2,1461,SC,29,307,15,14,1,541,15,D,24,1,351,total
47,6,1,2,0,21,TX,0,7,3,2,1,2,2,D,1,1,1,Other/No Answer
48,138,86,63,0,909,TX,0,224,181,49,72,153,143,D,79,69,70,Hillary Clinton
49,138,13,35,0,433,TX,0,124,68,49,27,23,62,D,20,30,18,Bernie Sanders
50,281,12,24,7,1481,TX,104,355,252,19,17,178,207,D,6,14,89,total
51,8,0,0,0,8,VA,0,0,0,2,0,0,0,D,0,0,0,Other/No Answer
52,190,85,64,0,813,VA,0,317,0,48,0,192,0,D,81,0,114,Hillary Clinton
53,198,15,36,0,437,VA,0,178,0,50,0,34,0,D,19,0,27,Bernie Sanders
54,396,16,35,4,1413,VA,57,495,57,28,4,226,42,D,10,3,141,total
